"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
0100-2608,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2609,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2610,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2611,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2612,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2613,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2653,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2654,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2655,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2656,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2657,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2659,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2660,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2661,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2662,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2663,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2687,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2688,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2689,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2690,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2691,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2692,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2756,,None,N,Y,N,N,N,N,N,N,N
0100-2757,,None,N,Y,N,N,N,N,N,N,N
0100-2758,,None,N,Y,N,N,N,N,N,N,N
0100-2759,,None,N,Y,N,N,N,N,N,N,N
0100-2760,,None,N,Y,N,N,N,N,N,N,N
0100-2761,,None,N,Y,N,N,N,N,N,N,N
0100-2762,,None,N,Y,N,N,N,N,N,N,N
0100-2763,,None,N,Y,N,N,N,N,N,N,N
0100-2764,,None,N,Y,N,N,N,N,N,N,N
0100-2765,,None,N,Y,N,N,N,N,N,N,N
0100-2766,,None,N,Y,N,N,N,N,N,N,N
0100-2767,,None,N,Y,N,N,N,N,N,N,N
0100-2768,,None,N,Y,N,N,N,N,N,N,N
0100-2769,,None,N,Y,N,N,N,N,N,N,N
0100-2770,,None,N,Y,N,N,N,N,N,N,N
0100-2771,,None,N,Y,N,N,N,N,N,N,N
0100-2772,,None,N,Y,N,N,N,N,N,N,N
0100-2773,,None,N,Y,N,N,N,N,N,N,N
0100-2774,,None,N,Y,N,N,N,N,N,N,N
0100-2775,,None,N,Y,N,N,N,N,N,N,N
0100-2776,,None,N,Y,N,N,N,N,N,N,N
0100-2777,,None,N,Y,N,N,N,N,N,N,N
0100-2778,,None,N,Y,N,N,N,N,N,N,N
0100-2779,,None,N,Y,N,N,N,N,N,N,N
